60789, …œ61172,63109,62851,62493.4,65377,61632,60010.2,61811,62836.2
63652, ª¶64419,61386,60027,62553,62246,63284,61960,62187.2,64082.3
66548.5, ª¶62742,64301,65091.7,62009,64613.8,60636,63388,64443.2,60424
63136, ª¶63417,62178,63231,62976.8,61774.5,62127,62687,63103.3,64514
60647, ª¶64475.4,60072,62695,61112.8,63917.7,63023,64683,64161,63609
60901, ª¶62050,64966,63302,65815.1,62329,62992,62882.9,62352.1,64232
64290.4, ª¶63235,63866,62034.3,62573,63660,61149,63972,60236,65136.9
63466.6, ª¶63566,62289,61262,62402,61909,61436.9,62039.8,64663.6,63820
61997, ª¶62669,61527,61016,63580.8,63811.4,62045,61617.3,63468.2,62627.5
63476.4, ª¶62328,63060,63533,62212,62657,64903,63314.5,61181,64427.7
61225, ª¶62689,62316,62390,64958.2,63170,62867.6,60811,63242.6,61024
62469, ª¶61191,63821,62317,60864,61972,62517,62785.6,64399,65424.7
63793, ª¶63866,63051,62241,61900,63852.2,63840.3,63392.7,64070,65872.1
62153, ª¶62386,62711,62138,63790,65268.3,61794,65838.7,64331,66610.7
60038, ª¶63964,63865,63469,62873.5,60264,61899.8,62463.2,63475,60907.7
63810, ª¶61166,62891,62883,62791,63550,62638,63791,60265,61871.6
62711.8, …œ65265,64971,63753,62986.3,63475.7,60178.6,64654,60001,62635
62202, ª¶63653,62964,62976,62121,61404.1,60831.7,65503.9,61625.6,63737.1
64015.6, ª¶63606.6,62691,63445,63164,64504,63688,62827,64985.3,64233
62180.3, ª¶61780,61165,63094.6,64095.3,61653.7,64671,62923.1,62545.7,63359.1
